id,raw_name,canonical_name,domain,confidence,evidence,judge_score,judge_rationale,verdict
55,Confluent Inc.,,,0.0,"Agent error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Used 4027, Requested 2935. Please try again in 9.62s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
56,Confluent Kafka Co,"Confluent, Inc.",confluent.io,0.9,"Confluent, Inc. is an American technology company headquartered in Mountain View, California. Confluent was founded by Jay Kreps, Jun Rao and Neha Narkhede on September 23, 2014, in order to commercialize an open-source streaming platform Apache Kafka, created by the same founders while working at LinkedIn in 2008 as a B2B infrastructure company. Confluent's products are the Confluent Cloud, Confluent Platform, Connectors, Apache Flink, Stream Governance and Confluent Hub.

Corporation filed for",9,"The resolved name Confluent, Inc. matches the raw input Confluent Kafka Co with a high confidence of 0.9 and strong evidence of the company's products and history.",accept
57,CFLT,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 9430, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
58,HashiCorp,HashiCorp Inc.,hashicorp.com,0.7826087,Fuzzy matched 'HashiCorp' → 'HashiCorp Inc.' (score 78.26086956521739/100),8,Fuzzy matched 'HashiCorp' → 'HashiCorp Inc.' (score 78.26086956521739/100) with high confidence 0.7826087,accept
59,Hashi Corp,,,0.0,Could not resolve — requires manual review.,0,Agent returned no resolved name.,reject
60,HashiCorp Inc.,HashiCorp Inc.,hashicorp.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
61,Twilio Inc,Twilio Inc.,twilio.com,0.95,Fuzzy matched 'Twilio Inc' → 'Twilio Inc.' (score 95.23809523809523/100),9,Fuzzy matched 'Twilio Inc' → 'Twilio Inc.' (score 95.23809523809523/100) with high confidence 0.95.,accept
62,Twilo,Twilio Inc.,twilio.com,0.9,Canonical name found through web search.,9,"Strong evidence of a canonical name found through web search, with a minor name variation.",accept
63,TWLO,Twilio Inc.,twilio.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
64,Zendesk,Zendesk Inc.,zendesk.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
65,Zen Desk,,,0.0,Could not resolve — requires manual review.,0,Agent returned no resolved name.,reject
66,Zendesk Software,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7795, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
67,Hubspot,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7887, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
68,HubSpot Inc.,HubSpot Inc.,hubspot.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
69,Hub Spot CRM,,,0.0,Could not resolve — requires manual review.,0,Agent returned no resolved name.,reject
70,Asana Inc,Asana Inc.,asana.com,0.94,Fuzzy matched 'Asana Inc' → 'Asana Inc.' (score 94.73684210526316/100),9,"Strong evidence with a score of 94.73684210526316/100 and a confidence of 0.94, minor name variation.",accept
71,Asana Project Mgmt,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 9521, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
72,Notion Labs,,,0.0,"Agent error: Error code: 400 - {'error': {'message': ""Failed to call a function. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '<function=company_lookup_tool>{""company_name"": ""Notion Labs""}<function>\n<function=fuzzy_match_tool>{""company_name"": ""Notion Labs"", ""threshold"": 75}<function>\n<function=web_search_tool>{""query"": ""What company is Notion Labs? canonical full name""}<function>'}}",0,Agent returned no resolved name.,reject
73,Notion,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7887, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
74,Notion.so Inc,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 8079, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
75,Figma Inc.,Figma Inc.,figma.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
76,Figma Design,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7614, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
77,FIGMA Corp,Figma Corporation,figma.com,0.8,Canonical name found through web search.,9,"Strong evidence of a canonical name found through web search, with a minor name variation.",accept
78,Stripe Inc.,Stripe Inc.,stripe.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
79,Stripe Payments,Stripe Inc.,stripe.com,0.9,Fuzzy matched 'Stripe Inc' → 'Stripe Inc.' (score 95.23809523809523/100),9,Strong evidence of a perfect match with minor name variation.,accept
80,Stipe Inc,Stripe Inc.,stripe.com,0.9,Fuzzy matched 'Stipe Inc' → 'Stripe Inc.' (score 90.0/100),9,Fuzzy matched 'Stipe Inc' → 'Stripe Inc.' (score 90.0/100) with high confidence 0.9,accept
81,Plaid Technologies,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7433, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
82,Plaid Inc,Plaid Inc.,plaid.com,0.94,Fuzzy matched 'Plaid Inc' → 'Plaid Inc.' (score 94.74/100),9,Fuzzy matched 'Plaid Inc' → 'Plaid Inc.' (score 94.74/100) with high confidence 0.94.,accept
83,PLAID Fintech,Plaid Inc.,plaid.com,0.7826087,Fuzzy matched 'PLAID Fintech' → 'Plaid Inc.' (score 78.26086956521739/100),8,"Strong evidence with a score of 78.26086956521739/100 and a confidence of 0.7826087, minor name variation.",accept
84,Brex Inc.,Brex Inc.,brex.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
85,Brex Financial,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7259, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
86,BREX Corp,,,0.0,Could not resolve — requires manual review.,0,Agent returned no resolved name.,reject
87,Rippling Inc.,Rippling Inc.,rippling.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
88,Riplling,,,0.0,Could not resolve — requires manual review.,0,Agent returned no resolved name.,reject
89,Rippling HR,Rippling Inc.,rippling.com,0.75,Fuzzy matched 'Rippling HR' → 'Rippling Inc.' (score 75.0/100),7,Fuzzy matched 'Rippling HR' → 'Rippling Inc.' (score 75.0/100) with a confidence of 0.75.,accept
90,Lattice HQ,,,0.0,Could not resolve — requires manual review.,0,Agent returned no resolved name.,reject
91,Lattice Inc.,Lattice Inc.,lattice.com,1.0,Exact match found in canonical database.,10,Exact match found in canonical database with confidence 1.0.,accept
92,Latice Inc,Lattice Inc.,lattice.com,0.9090909090909091,Fuzzy matched 'Latice Inc' → 'Lattice Inc.' (score 90.9090909090909/100),8,Fuzzy matched 'Latice Inc' → 'Lattice Inc.' (score 90.9090909090909/100) with high confidence 0.9090909090909091,accept
93,Scale AI,,,0.0,"Agent error: Error code: 400 - {'error': {'message': ""Failed to call a function. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': '<function=company_lookup_tool>{""company_name"": ""Scale AI""}<function>\n<function=fuzzy_match_tool>{""company_name"": ""Scale AI"",""threshold"": 75}<function>\n<function=web_search_tool>{""query"": ""What company is Scale AI? canonical full name""}<function>'}}",0,Agent returned no resolved name.,reject
94,Scale Artificial Intelligence,,,0.0,Could not resolve — requires manual review.,0,Agent returned no resolved name.,reject
95,ScaleAI Inc.,Scale AI Inc.,scale.com,0.8,Fuzzy matched 'ScaleAI Inc.' → 'Scale AI Inc.' (score 80.0/100),8,"Strong evidence with a score of 80.0/100 and a confidence of 0.8, minor name variation.",accept
96,Weights & Biases,,,0.0,"Agent error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01krwpq3znfj9ar9by8hwxmy99` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 9597, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0,Agent returned no resolved name.,reject
97,Weights and Biases,Weights & Biases Inc.,wandb.ai,0.7692307692307693,Fuzzy matched 'Weights and Biases' → 'Weights & Biases Inc.' (score 76.92307692307692/100),7,Fuzzy matched 'Weights and Biases' → 'Weights & Biases Inc.' (score 76.92307692307692/100),accept
98,W&B Inc,,,0.0,Could not resolve — requires manual review.,0,Agent returned no resolved name.,reject
99,WandB,,,0.0,Could not resolve — requires manual review.,0,Agent returned no resolved name.,reject
100,Weights&Biases Corp,Weights & Biases Inc.,wandb.ai,0.77,Fuzzy matched 'Weights and Biases Corp' → 'Weights & Biases Inc.' (score 77.27272727272727/100),7,Fuzzy matched 'Weights and Biases Corp' → 'Weights & Biases Inc.' (score 77.27272727272727/100),accept
